"Search","Chercher"
"No result found!","Pas de résultat!"
"You can take a ticket from","A partir de"
"Found","Trouvé"
"result","résultat"
"results","résultats"
"Loading","Chargement"
"Choose","Choisir"
"Go","Aller"
"Return","Retour"
"Back To Search Page","Retour à la recherche"
"Add to basket","Ajouter au panier"
"Next","Suivant"
"Back","Précédent"
"Round trip","Aller-retour"
"One-way","Aller simple"
"From","Origine"
"To","Destination"	
"Departure date","Date de départ",
"Return date","Date de retour"
"Please select","Sélection"
