"Period type","Type de période"
"Period / Date","Période / Date"
"sessions / days","sessions / jours"
"Period from, to","Période De, au"
"Specific date","Date spécifique"
"Every day of week","Tous les jours de la semaine"
"Every day of month","Tous les jours du mois"
"Monday","Lundi"
"Tuesday","Mardi"
"Wednesday","Mercredi"
"Thuersday","Jeudi"
"Friday","Vendredi"
"Sunday","Dimanche"
"Saturday","Samedi"
"Action","Action"
"first...","Première..."
"last...","Dernière..."
"Session","Session"
"Add Excluded","Ajouter exclusion"
"Business day","Jours de semaine"
"Every day","Tous les jours"
"Specific date","Date spécifique"
"Weekend","Fin de semaine"
"Day","Jour"
"Starting times","Heures de début"
"hours","heures"
"minutes","minutes"
"add session","Ajouter un départ"
"remove day","Enlevée une journée"
"Add day definition","Ajouter définition de jour"
"Type","Type"
"Condition","Condition"
"Price Move","Changement de prix"
"Amount Type","Type de montant"
"Amount","Montant"
"First Moment","Prévente"
"Last Minute","Dernière minute"
"Length of Reservation","Durée de la réservation"
"increase","augmenter"
"decrease","diminuer"
"booked at least far in","reservation au plus tard le"
"booked nearest in","reservation le plus tot le"
"months","mois"
"days","jours"
"weeks","semaines"
"minimal quantity is","quantité minimale est"
"Add Rule","Ajouter une règle"
"percentage","pourcentage"
"fixed amount","Montant fixe"
"Billable Period","Période facturable"
"Exclude Days","Jours exclus"
"Price Rules","Règles de prix"
"Custom Sessions","Sessions sur mesures"
"Shipping","Livraison"
"Quantity","Quantité"
"Booking From","Réservation du"
"Booking To","Réservation au"
"Session","Session"
"Day","Jour"
"enabled","Activé"
"disabled","Désactivé"
"No selected session.","Pas de d\351part selectionné."
"Please select date and session to book this product.","S.V.P. sélectionner la date et le départ pour réserver ce produit."
"No selected date.","Aucune date sélectionnée."
"Please select date or day range to book this product.","S.V.P. sélectionner la date ou le jour pour réserver ce produit."
"Your selected session:","Votre départ sélectionné:"
"Your selected dates:","Vos dates sélectionnées:"
"Maximal bookable quantity: ","Quantité maximale de réservation: "
"Availible discounts for checkout: ","Escomptes disponibles à la passation de la commande: "
"For reservations after ","Pour réservations après"
"For reservations before ","Pour réservations avant "
"For reservations of more than ","Pour les réservations de plus de "
" sessions"," sessions"
" days"," jours"
" there is "," Il y a"
" there is First Moment"," Il y a une prévente"
" there is Last Minute"," Il y a une dernière minute"
" mark-up by "," majoration par"
" discount by "," Escompte par"
"Bookme Grid","Grille Bookme"
"Books and reservations","Réservations"
"Booked Products","Produits réservés"
