"Order Id","Created at","Amount Ex tax","Montant de la taxe",Montant,Rabais,Payé,Remboursé,Modifier,"Sales Person",Till,"Méthode d'expédition","Méthode de paiement",Warehouse,Magasin
300015238,"2016-01-11 02:24:29","63,10 $","9,45 $","72,55 $","0,00 $","72,55 $",,,,"Gare BSP","Free Shipping","X-POS Interact","NO Warehouse",xpos
300015239,"2016-01-11 02:28:17","37,40 $","5,60 $","43,00 $","0,00 $","100,00 $",,"57,00 $",,"Gare BSP","Free Shipping","X-POS Cash","NO Warehouse",xpos
100011236,"2016-01-11 04:29:13","92,18 $","13,80 $","105,98 $","0,00 $","0,00 $",,,,,,"Optimal Payments (Hosted)","NO Warehouse",Francais
300015240,"2016-01-11 04:50:44","11,55 $","1,73 $","13,28 $","0,00 $","13,50 $",,"0,22 $",,"Gare BSP","Free Shipping","X-POS Cash","NO Warehouse",xpos
300015241,"2016-01-11 05:35:51","74,25 $","11,12 $","85,37 $","0,00 $","85,37 $",,,,"Gare BSP","Free Shipping","X-POS Master Card","NO Warehouse",xpos
300015242,"2016-01-11 07:21:13","31,80 $","4,76 $","36,56 $","0,00 $","40,00 $",,"3,44 $",,"Gare BSP","Free Shipping","X-POS Cash","NO Warehouse",xpos
300015243,"2016-01-11 07:25:18","31,80 $","4,76 $","36,56 $","0,00 $","36,56 $",,,,"Gare BSP","Free Shipping","X-POS Master Card","NO Warehouse",xpos
300015244,"2016-01-11 07:29:13","31,80 $","4,76 $","36,56 $","0,00 $","40,00 $",,"3,44 $",,"Gare BSP","Free Shipping","X-POS Cash","NO Warehouse",xpos
300015245,"2016-01-11 07:31:09","31,80 $","4,76 $","36,56 $","0,00 $","40,00 $",,"3,44 $",,"Gare BSP","Free Shipping","X-POS Cash","NO Warehouse",xpos
100011237,"2016-01-11 09:25:18","46,10 $","6,91 $","53,01 $","0,00 $","0,00 $",,,,,,"Facturation / Entente de Crédit","NO Warehouse",Francais
300015246,"2016-01-11 09:41:24","16,85 $","2,52 $","19,37 $","0,00 $","19,37 $",,,,"Gare BSP","Free Shipping","X-POS Visa Payment","NO Warehouse",xpos
100011238,"2016-01-11 13:32:30","43,48 $","6,51 $","49,99 $","0,00 $","0,00 $",,,,,,"Optimal Payments (Hosted)","NO Warehouse",Francais
100011239,"2016-01-11 16:37:12","86,96 $","13,02 $","99,98 $","0,00 $","0,00 $",,,,,,"Optimal Payments (Hosted)","NO Warehouse",Francais
300015247,"2016-01-12 02:35:56","31,80 $","4,76 $","36,56 $","0,00 $","40,60 $",,"4,04 $",,"Gare BSP","Free Shipping","X-POS Cash","NO Warehouse",xpos
300015248,"2016-01-12 04:09:16","11,65 $","1,74 $","13,39 $","0,00 $","13,39 $",,,,"Gare BSP","Free Shipping","X-POS Master Card","NO Warehouse",xpos
100011240,"2016-01-12 04:49:25","24,00 $","3,59 $","27,59 $","0,00 $","0,00 $",,,,,,"Optimal Payments (Hosted)","NO Warehouse",Francais
300015249,"2016-01-12 06:05:26","39,70 $","5,95 $","45,65 $","0,00 $","45,65 $",,,,"Gare BSP","Free Shipping","X-POS Master Card","NO Warehouse",xpos
100011241,"2016-01-12 09:31:02","43,48 $","6,51 $","49,99 $","0,00 $","0,00 $",,,,,,"Optimal Payments (Hosted)","NO Warehouse",Francais
300015250,"2016-01-12 09:42:56","37,40 $","5,60 $","43,00 $","0,00 $","43,00 $",,,,"Gare BSP","Free Shipping","X-POS Cash","NO Warehouse",xpos
100011242,"2016-01-12 12:39:39","24,00 $","3,59 $","27,59 $","0,00 $","0,00 $",,,,,,"Optimal Payments (Hosted)","NO Warehouse",Francais
100011243,"2016-01-12 16:28:34","130,44 $","19,53 $","149,97 $","0,00 $","0,00 $",,,,,,"Optimal Payments (Hosted)","NO Warehouse",Francais
300015251,"2016-01-13 06:02:57","9,85 $","1,47 $","11,32 $","0,00 $","11,32 $",,,,"Gare BSP","Free Shipping","X-POS Interact","NO Warehouse",xpos
100011244,"2016-01-13 08:15:01","92,18 $","13,80 $","105,98 $","0,00 $","0,00 $",,,,,,"Optimal Payments (Hosted)","NO Warehouse",Francais
100011245,"2016-01-13 10:15:23","1 423,90 $","213,23 $","1 637,13 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011246,"2016-01-13 10:19:46","1 423,90 $","213,23 $","1 637,13 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011247,"2016-01-13 10:25:07","148,70 $","22,27 $","170,97 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011248,"2016-01-13 10:29:42","2 921,80 $","437,54 $","3 359,34 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011249,"2016-01-13 10:31:26","1 423,90 $","213,23 $","1 637,13 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011250,"2016-01-13 10:33:31","1 423,90 $","213,23 $","1 637,13 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011251,"2016-01-13 11:07:24","2 867,45 $","429,40 $","3 296,85 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011252,"2016-01-13 11:11:44","2 921,80 $","437,54 $","3 359,34 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011253,"2016-01-13 11:16:02","2 345,70 $","351,27 $","2 696,97 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011254,"2016-01-13 11:18:21","2 926,15 $","438,19 $","3 364,34 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
300015252,"2016-01-13 11:22:10","74,25 $","11,12 $","85,37 $","0,00 $","85,37 $",,,,"Gare BSP","Free Shipping","X-POS Master Card","NO Warehouse",xpos
100011255,"2016-01-13 11:22:44","5 852,30 $","876,39 $","6 728,69 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011256,"2016-01-13 11:25:37","5 852,30 $","876,39 $","6 728,69 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011257,"2016-01-13 11:27:47","2 921,80 $","437,54 $","3 359,34 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011258,"2016-01-13 11:31:11","5 852,30 $","876,39 $","6 728,69 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011259,"2016-01-13 11:33:55","5 852,30 $","876,39 $","6 728,69 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011260,"2016-01-13 11:37:35","5 856,65 $","877,03 $","6 733,68 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
300015253,"2016-01-13 12:37:49","31,80 $","4,76 $","36,56 $","0,00 $","36,56 $",,,,"Gare BSP","Free Shipping","X-POS Cash","NO Warehouse",xpos
300015254,"2016-01-13 12:49:57","19,85 $","2,97 $","22,82 $","0,00 $","22,82 $",,,,"Gare BSP","Free Shipping","X-POS Cash","NO Warehouse",xpos
300015255,"2016-01-14 02:20:13","21,05 $","3,15 $","24,20 $","0,00 $","24,20 $",,,,"Gare BSP","Free Shipping","X-POS Interact","NO Warehouse",xpos
300015256,"2016-01-14 02:22:42","74,25 $","11,12 $","85,37 $","0,00 $","100,00 $",,"14,63 $",,"Gare BSP","Free Shipping","X-POS Cash","NO Warehouse",xpos
300015257,"2016-01-14 02:58:31","12,45 $","1,86 $","14,31 $","0,00 $","14,31 $",,,,"Gare BSP","Free Shipping","X-POS Visa Payment","NO Warehouse",xpos
100011261,"2016-01-14 05:31:27","4 758,40 $","712,57 $","5 470,97 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011262,"2016-01-14 05:36:13","2 087,00 $","312,53 $","2 399,53 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
300015258,"2016-01-14 07:20:55","9,45 $","1,41 $","10,86 $","0,00 $","10,86 $",,,,"Gare BSP","Free Shipping","X-POS Visa Payment","NO Warehouse",xpos
300015259,"2016-01-14 09:52:34","101,00 $","15,12 $","116,12 $","0,00 $","116,12 $",,,,"Gare BSP","Free Shipping","X-POS Interact","NO Warehouse",xpos
300015260,"2016-01-14 10:21:52","37,40 $","5,60 $","43,00 $","0,00 $","43,00 $",,,,"Gare BSP","Free Shipping","X-POS Interact","NO Warehouse",xpos
100011263,"2016-01-14 12:03:50","43,48 $","6,51 $","49,99 $","0,00 $","0,00 $",,,,,,"Optimal Payments (Hosted)","NO Warehouse",Francais
300015261,"2016-01-14 12:22:56","31,80 $","4,76 $","36,56 $","0,00 $","36,56 $",,,,"Gare BSP","Free Shipping","X-POS Master Card","NO Warehouse",xpos
300015262,"2016-01-14 12:26:21","37,40 $","5,60 $","43,00 $","0,00 $","43,00 $",,,,"Gare BSP","Free Shipping","X-POS Visa Payment","NO Warehouse",xpos
300015263,"2016-01-14 13:25:15","17,70 $","2,66 $","20,36 $","0,00 $","20,50 $",,"0,14 $",,"Gare BSP","Free Shipping","X-POS Cash","NO Warehouse",xpos
300015264,"2016-01-14 13:49:23","8,60 $","1,29 $","9,89 $","0,00 $","9,89 $",,,,"Gare BSP","Free Shipping","X-POS Visa Payment","NO Warehouse",xpos
100011264,"2016-01-14 15:04:15","40,88 $","6,12 $","47,00 $","0,00 $","0,00 $",,,,,,"Optimal Payments (Hosted)","NO Warehouse",Francais
100011265,"2016-01-14 15:30:52","86,96 $","13,02 $","99,98 $","0,00 $","0,00 $",,,,,,"Optimal Payments (Hosted)","NO Warehouse",Francais
300015265,"2016-01-15 02:55:04","74,25 $","11,12 $","85,37 $","0,00 $","100,00 $",,"14,63 $",,"Gare BSP","Free Shipping","X-POS Cash","NO Warehouse",xpos
300015266,"2016-01-15 02:56:08","23,35 $","3,50 $","26,85 $","0,00 $","30,00 $",,"3,15 $",,"Gare BSP","Free Shipping","X-POS Cash","NO Warehouse",xpos
100011266,"2016-01-15 03:40:06","86,96 $","13,02 $","99,98 $","0,00 $","0,00 $",,,,,,"Optimal Payments (Hosted)","NO Warehouse",Francais
100011267,"2016-01-15 03:42:25","122,64 $","18,36 $","141,00 $","0,00 $","0,00 $",,,,,,"Optimal Payments (Hosted)","NO Warehouse",Francais
100011268,"2016-01-15 03:59:23","1 121,40 $","167,93 $","1 289,33 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011269,"2016-01-15 04:03:06","1 667,60 $","249,72 $","1 917,32 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011270,"2016-01-15 04:06:20","1 217,40 $","182,31 $","1 399,71 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011271,"2016-01-15 04:10:02","1 947,84 $","291,69 $","2 239,53 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011272,"2016-01-15 04:20:44","1 704,36 $","255,23 $","1 959,59 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011273,"2016-01-15 04:23:16","2 921,80 $","437,54 $","3 359,34 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011274,"2016-01-15 04:28:53","4 758,40 $","712,57 $","5 470,97 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011275,"2016-01-15 04:31:15","2 087,00 $","312,53 $","2 399,53 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011276,"2016-01-15 04:33:18","1 217,40 $","182,31 $","1 399,71 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011277,"2016-01-15 04:36:02","1 704,36 $","255,23 $","1 959,59 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011278,"2016-01-15 04:37:58","1 704,36 $","255,23 $","1 959,59 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011279,"2016-01-15 04:42:03","1 526,10 $","228,54 $","1 754,64 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011280,"2016-01-15 04:44:45","1 658,90 $","248,43 $","1 907,33 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
100011281,"2016-01-15 04:50:49","2 608,80 $","390,67 $","2 999,47 $","0,00 $","0,00 $",,,,,,"Mise en Tentatif","NO Warehouse",Francais
